Entidad federativa,Grupo quinquenal de edad,año,Hombres,Mujeres,Total
Nuevo León,20 a 24 años,"1,995","207,929","204,646","412,575"
Nuevo León,25 a 29 años,"1,995","166,536","169,966","336,502"
Nuevo León,30 a 34 años,"1,995","140,426","143,481","283,907"
Nuevo León,35 a 39 años,"1,995","120,187","123,005","243,192"
Nuevo León,40 a 44 años,"1,995","90,621","92,466","183,087"
Nuevo León,45 a 49 años,"1,995","75,209","76,647","151,856"
Nuevo León,50 a 54 años,"1,995","60,893","62,012","122,905"
Nuevo León,55 a 59 años,"1,995","47,706","48,557","96,263"
Nuevo León,60 a 64 años,"1,995","37,553","39,806","77,359"
Nuevo León,65 a 69 años,"1,995","27,042","30,276","57,318"
Nuevo León,70 a 74 años,"1,995","19,660","21,370","41,030"
Nuevo León,No especificado,"1,995","1,889","1,668","3,557"
Nuevo León,75 años y más,"1,995","24,885","30,839","55,724"
Oaxaca,0 a 4 años,"1,995","203,558","198,547","402,105"
Oaxaca,05 a 9 años,"1,995","220,830","215,656","436,486"
Oaxaca,10 a 14 años,"1,995","220,899","213,383","434,282"
Oaxaca,15 a 19 años,"1,995","178,098","180,428","358,526"
Oaxaca,20 a 24 años,"1,995","133,575","147,999","281,574"
Oaxaca,25 a 29 años,"1,995","104,693","118,333","223,026"
Oaxaca,30 a 34 años,"1,995","94,093","104,243","198,336"
Oaxaca,35 a 39 años,"1,995","86,730","97,196","183,926"
Oaxaca,40 a 44 años,"1,995","69,431","74,108","143,539"
Oaxaca,45 a 49 años,"1,995","58,894","64,467","123,361"
Oaxaca,50 a 54 años,"1,995","49,639","54,139","103,778"
Oaxaca,55 a 59 años,"1,995","39,984","43,832","83,816"
Oaxaca,60 a 64 años,"1,995","37,683","40,741","78,424"
Oaxaca,65 a 69 años,"1,995","26,632","29,130","55,762"
Oaxaca,70 a 74 años,"1,995","21,251","22,220","43,471"
Oaxaca,No especificado,"1,995","6,561","8,162","14,723"
Oaxaca,75 años y más,"1,995","29,859","33,901","63,760"
Puebla,0 a 4 años,"1,995","290,579","284,350","574,929"
Puebla,05 a 9 años,"1,995","300,772","293,231","594,003"
Puebla,10 a 14 años,"1,995","299,025","292,619","591,644"
Puebla,15 a 19 años,"1,995","259,523","266,855","526,378"
Puebla,20 a 24 años,"1,995","212,862","234,419","447,281"
Puebla,25 a 29 años,"1,995","165,411","186,374","351,785"
Puebla,30 a 34 años,"1,995","140,849","158,364","299,213"
Puebla,35 a 39 años,"1,995","129,853","145,314","275,167"
Puebla,40 a 44 años,"1,995","100,039","107,911","207,950"
Puebla,45 a 49 años,"1,995","83,337","92,181","175,518"
Puebla,50 a 54 años,"1,995","66,956","72,794","139,750"
Puebla,55 a 59 años,"1,995","53,333","60,272","113,605"
Puebla,60 a 64 años,"1,995","47,280","53,588","100,868"
Puebla,65 a 69 años,"1,995","35,373","41,546","76,919"
Puebla,70 a 74 años,"1,995","27,227","30,443","57,670"
Puebla,No especificado,"1,995","2,410","2,921","5,331"
Puebla,75 años y más,"1,995","38,647","47,707","86,354"
Querétaro,0 a 4 años,"1,995","80,413","78,649","159,062"
Querétaro,05 a 9 años,"1,995","80,724","78,991","159,715"
Querétaro,10 a 14 años,"1,995","78,843","77,128","155,971"
Querétaro,15 a 19 años,"1,995","71,349","73,989","145,338"
Querétaro,20 a 24 años,"1,995","62,591","68,228","130,819"
Querétaro,25 a 29 años,"1,995","49,042","54,245","103,287"
Querétaro,30 a 34 años,"1,995","42,868","46,198","89,066"
Querétaro,35 a 39 años,"1,995","37,633","39,522","77,155"
Querétaro,40 a 44 años,"1,995","28,124","28,321","56,445"
Querétaro,45 a 49 años,"1,995","21,587","21,965","43,552"
Querétaro,50 a 54 años,"1,995","16,851","17,071","33,922"
Querétaro,55 a 59 años,"1,995","12,280","12,947","25,227"
Querétaro,60 a 64 años,"1,995","10,393","11,558","21,951"
Querétaro,65 a 69 años,"1,995","7,473","8,374","15,847"
Querétaro,70 a 74 años,"1,995","5,987","6,390","12,377"
Querétaro,No especificado,"1,995","1,329","1,486","2,815"
Querétaro,75 años y más,"1,995","7,997","9,930","17,927"
Quintana Roo,0 a 4 años,"1,995","49,230","47,604","96,834"
Quintana Roo,05 a 9 años,"1,995","44,445","42,924","87,369"
Quintana Roo,10 a 14 años,"1,995","39,550","37,996","77,546"
Quintana Roo,15 a 19 años,"1,995","38,095","37,414","75,509"
Quintana Roo,20 a 24 años,"1,995","41,218","40,049","81,267"
Quintana Roo,25 a 29 años,"1,995","37,052","35,369","72,421"
Quintana Roo,30 a 34 años,"1,995","30,204","28,518","58,722"
Quintana Roo,35 a 39 años,"1,995","23,653","21,968","45,621"
Quintana Roo,40 a 44 años,"1,995","16,799","14,818","31,617"
Quintana Roo,45 a 49 años,"1,995","12,479","10,921","23,400"
Quintana Roo,50 a 54 años,"1,995","8,719","7,455","16,174"
Quintana Roo,55 a 59 años,"1,995","6,034","5,364","11,398"
Quintana Roo,60 a 64 años,"1,995","4,747","4,225","8,972"
Quintana Roo,65 a 69 años,"1,995","3,053","2,602","5,655"
Quintana Roo,70 a 74 años,"1,995","2,391","1,836","4,227"
Quintana Roo,No especificado,"1,995",923,798,"1,721"
Quintana Roo,75 años y más,"1,995","2,867","2,216","5,083"
San Luis Potosí,0 a 4 años,"1,995","141,909","138,058","279,967"
San Luis Potosí,05 a 9 años,"1,995","141,801","137,101","278,902"
San Luis Potosí,10 a 14 años,"1,995","140,700","136,878","277,578"
San Luis Potosí,15 a 19 años,"1,995","122,685","123,586","246,271"
San Luis Potosí,20 a 24 años,"1,995","99,110","107,763","206,873"
San Luis Potosí,25 a 29 años,"1,995","77,995","86,969","164,964"
San Luis Potosí,30 a 34 años,"1,995","68,229","75,217","143,446"
San Luis Potosí,35 a 39 años,"1,995","61,324","65,785","127,109"
San Luis Potosí,40 a 44 años,"1,995","48,276","50,428","98,704"
San Luis Potosí,45 a 49 años,"1,995","41,175","42,549","83,724"
San Luis Potosí,50 a 54 años,"1,995","33,914","35,108","69,022"
San Luis Potosí,55 a 59 años,"1,995","28,230","28,931","57,161"
San Luis Potosí,60 a 64 años,"1,995","25,035","25,969","51,004"
San Luis Potosí,65 a 69 años,"1,995","19,067","19,647","38,714"
San Luis Potosí,70 a 74 años,"1,995","14,890","14,362","29,252"
San Luis Potosí,No especificado,"1,995","2,710","2,936","5,646"
San Luis Potosí,75 años y más,"1,995","20,450","21,976","42,426"
Sinaloa,0 a 4 años,"1,995","143,911","137,912","281,823"
Sinaloa,05 a 9 años,"1,995","143,939","139,346","283,285"
Sinaloa,10 a 14 años,"1,995","143,623","139,345","282,968"
Sinaloa,15 a 19 años,"1,995","142,881","140,233","283,114"
Sinaloa,20 a 24 años,"1,995","127,511","127,254","254,765"
Sinaloa,25 a 29 años,"1,995","95,466","100,085","195,551"
Sinaloa,30 a 34 años,"1,995","81,771","87,437","169,208"
Sinaloa,35 a 39 años,"1,995","74,295","78,976","153,271"
Sinaloa,40 a 44 años,"1,995","60,004","60,405","120,409"
Sinaloa,45 a 49 años,"1,995","48,985","48,287","97,272"
Sinaloa,50 a 54 años,"1,995","41,054","38,785","79,839"
Sinaloa,55 a 59 años,"1,995","32,389","30,528","62,917"
Sinaloa,60 a 64 años,"1,995","25,879","24,848","50,727"
Sinaloa,65 a 69 años,"1,995","19,148","18,713","37,861"
Sinaloa,70 a 74 años,"1,995","14,339","13,856","28,195"
Sinaloa,No especificado,"1,995","1,931","1,901","3,832"
Sinaloa,75 años y más,"1,995","19,289","21,349","40,638"
Sonora,0 a 4 años,"1,995","122,220","117,295","239,515"
Sonora,05 a 9 años,"1,995","118,417","114,750","233,167"
Sonora,10 a 14 años,"1,995","114,032","111,141","225,173"
Sonora,15 a 19 años,"1,995","113,890","111,240","225,130"
Sonora,20 a 24 años,"1,995","110,207","109,458","219,665"
Sonora,25 a 29 años,"1,995","89,374","91,083","180,457"
Sonora,30 a 34 años,"1,995","78,380","81,126","159,506"
Sonora,35 a 39 años,"1,995","70,923","72,375","143,298"
Sonora,40 a 44 años,"1,995","54,787","53,923","108,710"
Sonora,45 a 49 años,"1,995","43,323","42,435","85,758"
Sonora,50 a 54 años,"1,995","35,410","34,510","69,920"
Sonora,55 a 59 años,"1,995","28,127","27,488","55,615"
Sonora,60 a 64 años,"1,995","23,133","22,601","45,734"
Sonora,65 a 69 años,"1,995","17,249","17,070","34,319"
Sonora,70 a 74 años,"1,995","12,493","11,846","24,339"
Sonora,No especificado,"1,995","2,035","1,430","3,465"
Sonora,75 años y más,"1,995","14,933","16,832","31,765"
Tabasco,0 a 4 años,"1,995","109,644","106,779","216,423"
Tabasco,05 a 9 años,"1,995","113,280","110,855","224,135"
Tabasco,10 a 14 años,"1,995","114,091","111,864","225,955"
Tabasco,15 a 19 años,"1,995","102,227","105,769","207,996"
Tabasco,20 a 24 años,"1,995","86,928","93,720","180,648"
Tabasco,25 a 29 años,"1,995","69,173","74,647","143,820"
Tabasco,30 a 34 años,"1,995","60,444","62,579","123,023"
Tabasco,35 a 39 años,"1,995","54,958","55,463","110,421"
Tabasco,40 a 44 años,"1,995","40,278","39,031","79,309"
Tabasco,45 a 49 años,"1,995","31,405","30,196","61,601"
Tabasco,50 a 54 años,"1,995","23,567","22,602","46,169"
Tabasco,55 a 59 años,"1,995","18,626","17,852","36,478"
Tabasco,60 a 64 años,"1,995","15,588","15,019","30,607"
Tabasco,65 a 69 años,"1,995","10,624","10,419","21,043"
Tabasco,70 a 74 años,"1,995","8,327","7,122","15,449"
Tabasco,No especificado,"1,995","1,445","1,597","3,042"
Tabasco,75 años y más,"1,995","11,638","11,012","22,650"
Tamaulipas,0 a 4 años,"1,995","144,467","138,435","282,902"
Tamaulipas,05 a 9 años,"1,995","138,027","132,414","270,441"
Tamaulipas,10 a 14 años,"1,995","133,432","129,805","263,237"
Tamaulipas,15 a 19 años,"1,995","137,625","138,059","275,684"
Tamaulipas,20 a 24 años,"1,995","134,302","140,599","274,901"
Tamaulipas,25 a 29 años,"1,995","111,930","117,866","229,796"
Tamaulipas,30 a 34 años,"1,995","95,548","99,527","195,075"
Tamaulipas,35 a 39 años,"1,995","82,499","85,755","168,254"
Tamaulipas,40 a 44 años,"1,995","62,336","64,053","126,389"
Tamaulipas,45 a 49 años,"1,995","50,597","53,330","103,927"
Tamaulipas,50 a 54 años,"1,995","42,550","43,674","86,224"
Tamaulipas,55 a 59 años,"1,995","34,462","35,604","70,066"
Tamaulipas,60 a 64 años,"1,995","29,003","30,760","59,763"
Tamaulipas,65 a 69 años,"1,995","21,018","22,431","43,449"
Tamaulipas,70 a 74 años,"1,995","15,467","16,052","31,519"
Tamaulipas,No especificado,"1,995","1,956","2,123","4,079"
Tamaulipas,75 años y más,"1,995","19,481","22,141","41,622"
Tlaxcala,0 a 4 años,"1,995","54,455","52,389","106,844"
Tlaxcala,05 a 9 años,"1,995","55,694","53,716","109,410"
Tlaxcala,10 a 14 años,"1,995","55,744","54,853","110,597"
Tlaxcala,15 a 19 años,"1,995","51,416","52,327","103,743"
Tlaxcala,20 a 24 años,"1,995","43,311","46,796","90,107"
Tlaxcala,25 a 29 años,"1,995","33,868","37,301","71,169"
Tlaxcala,30 a 34 años,"1,995","29,238","32,306","61,544"
Tlaxcala,35 a 39 años,"1,995","25,910","28,119","54,029"
Tlaxcala,40 a 44 años,"1,995","18,878","19,625","38,503"
Tlaxcala,45 a 49 años,"1,995","15,480","16,169","31,649"
Tlaxcala,50 a 54 años,"1,995","12,321","12,792","25,113"
Tlaxcala,55 a 59 años,"1,995","9,745","10,466","20,211"
Tlaxcala,60 a 64 años,"1,995","8,695","9,479","18,174"
Tlaxcala,65 a 69 años,"1,995","6,931","7,517","14,448"
Tlaxcala,70 a 74 años,"1,995","5,324","5,514","10,838"
Tlaxcala,No especificado,"1,995",321,377,698
Tlaxcala,75 años y más,"1,995","8,059","8,788","16,847"
Veracruz de Ignacio de la Llave,0 a 4 años,"1,995","395,230","381,237","776,467"
Veracruz de Ignacio de la Llave,05 a 9 años,"1,995","410,700","397,531","808,231"
Veracruz de Ignacio de la Llave,10 a 14 años,"1,995","410,912","396,509","807,421"
Veracruz de Ignacio de la Llave,15 a 19 años,"1,995","366,861","368,501","735,362"
Veracruz de Ignacio de la Llave,20 a 24 años,"1,995","311,116","336,683","647,799"
Veracruz de Ignacio de la Llave,25 a 29 años,"1,995","259,835","284,019","543,854"
Veracruz de Ignacio de la Llave,30 a 34 años,"1,995","228,981","245,759","474,740"
Veracruz de Ignacio de la Llave,35 a 39 años,"1,995","208,089","224,227","432,316"
Veracruz de Ignacio de la Llave,40 a 44 años,"1,995","164,379","171,765","336,144"
Veracruz de Ignacio de la Llave,45 a 49 años,"1,995","139,122","145,806","284,928"
Veracruz de Ignacio de la Llave,50 a 54 años,"1,995","111,635","115,415","227,050"
Veracruz de Ignacio de la Llave,55 a 59 años,"1,995","89,307","94,117","183,424"
Veracruz de Ignacio de la Llave,60 a 64 años,"1,995","74,398","80,342","154,740"
Veracruz de Ignacio de la Llave,65 a 69 años,"1,995","53,595","59,402","112,997"
Veracruz de Ignacio de la Llave,70 a 74 años,"1,995","40,157","41,939","82,096"
Veracruz de Ignacio de la Llave,No especificado,"1,995","4,886","5,931","10,817"
Veracruz de Ignacio de la Llave,75 años y más,"1,995","54,677","64,261","118,938"
Yucatán,0 a 4 años,"1,995","90,324","87,739","178,063"
Yucatán,05 a 9 años,"1,995","92,524","89,966","182,490"
Yucatán,10 a 14 años,"1,995","91,435","88,788","180,223"
Yucatán,15 a 19 años,"1,995","84,925","85,749","170,674"
Yucatán,20 a 24 años,"1,995","77,339","80,119","157,458"
Yucatán,25 a 29 años,"1,995","58,455","61,611","120,066"
Yucatán,30 a 34 años,"1,995","51,436","54,513","105,949"
Yucatán,35 a 39 años,"1,995","46,353","49,018","95,371"
Yucatán,40 a 44 años,"1,995","38,730","40,347","79,077"
Yucatán,45 a 49 años,"1,995","33,760","34,727","68,487"
Yucatán,50 a 54 años,"1,995","25,443","26,251","51,694"
Yucatán,55 a 59 años,"1,995","20,340","21,237","41,577"
Yucatán,60 a 64 años,"1,995","17,516","18,281","35,797"
Yucatán,65 a 69 años,"1,995","13,676","14,058","27,734"
Yucatán,70 a 74 años,"1,995","12,011","11,651","23,662"
Yucatán,No especificado,"1,995","1,382","1,309","2,691"
Yucatán,75 años y más,"1,995","17,786","17,823","35,609"
Zacatecas,0 a 4 años,"1,995","81,928","78,682","160,610"
Zacatecas,05 a 9 años,"1,995","87,400","84,397","171,797"
Zacatecas,10 a 14 años,"1,995","87,970","85,566","173,536"
Zacatecas,15 a 19 años,"1,995","77,607","81,983","159,590"
Zacatecas,20 a 24 años,"1,995","59,278","67,583","126,861"
Zacatecas,25 a 29 años,"1,995","45,720","52,689","98,409"
Zacatecas,30 a 34 años,"1,995","39,772","44,755","84,527"
Zacatecas,35 a 39 años,"1,995","34,745","38,347","73,092"
Zacatecas,40 a 44 años,"1,995","27,009","28,914","55,923"
Zacatecas,45 a 49 años,"1,995","23,360","25,195","48,555"
Zacatecas,50 a 54 años,"1,995","20,389","21,278","41,667"
Zacatecas,55 a 59 años,"1,995","16,837","17,414","34,251"
Zacatecas,60 a 64 años,"1,995","15,849","16,328","32,177"
Zacatecas,65 a 69 años,"1,995","12,218","12,368","24,586"
Zacatecas,70 a 74 años,"1,995","9,945","9,506","19,451"
Zacatecas,No especificado,"1,995","1,010","1,195","2,205"
Zacatecas,75 años y más,"1,995","14,503","14,756","29,259"
Aguascalientes,0 a 4 años,"2,000","58,831","57,306","116,137"
Aguascalientes,05 a 9 años,"2,000","59,375","58,000","117,375"
Aguascalientes,10 a 14 años,"2,000","54,930","53,602","108,532"
Aguascalientes,15 a 19 años,"2,000","48,733","50,844","99,577"
Aguascalientes,20 a 24 años,"2,000","40,526","46,982","87,508"
Aguascalientes,25 a 29 años,"2,000","36,461","42,739","79,200"
Aguascalientes,30 a 34 años,"2,000","32,438","37,879","70,317"
Aguascalientes,35 a 39 años,"2,000","28,736","32,103","60,839"
Aguascalientes,40 a 44 años,"2,000","23,383","25,982","49,365"
Aguascalientes,45 a 49 años,"2,000","17,855","19,686","37,541"
Aguascalientes,50 a 54 años,"2,000","14,400","15,802","30,202"
Aguascalientes,55 a 59 años,"2,000","10,638","11,456","22,094"
Aguascalientes,60 a 64 años,"2,000","8,129","9,630","17,759"
Aguascalientes,65 a 69 años,"2,000","6,333","7,419","13,752"
Aguascalientes,70 a 74 años,"2,000","4,901","5,813","10,714"
Aguascalientes,No especificado,"2,000","3,365","3,379","6,744"
Aguascalientes,75 años y más,"2,000","7,499","9,130","16,629"
Baja California,0 a 4 años,"2,000","136,979","131,703","268,682"
Baja California,05 a 9 años,"2,000","132,492","127,839","260,331"
Baja California,10 a 14 años,"2,000","115,261","111,497","226,758"
Baja California,15 a 19 años,"2,000","112,046","108,661","220,707"
Baja California,20 a 24 años,"2,000","115,775","116,191","231,966"
Baja California,25 a 29 años,"2,000","116,644","114,263","230,907"
Baja California,30 a 34 años,"2,000","100,728","97,079","197,807"
Baja California,35 a 39 años,"2,000","83,873","81,475","165,348"
Baja California,40 a 44 años,"2,000","63,537","63,027","126,564"
Baja California,45 a 49 años,"2,000","46,040","46,799","92,839"
Baja California,50 a 54 años,"2,000","36,227","37,321","73,548"
Baja California,55 a 59 años,"2,000","26,116","27,523","53,639"
Baja California,60 a 64 años,"2,000","21,414","22,760","44,174"
Baja California,65 a 69 años,"2,000","15,643","16,918","32,561"
Baja California,70 a 74 años,"2,000","11,386","11,806","23,192"
Baja California,No especificado,"2,000","104,370","103,446","207,816"
Baja California,75 años y más,"2,000","14,050","16,478","30,528"
Baja California Sur,0 a 4 años,"2,000","23,303","22,310","45,613"
Baja California Sur,05 a 9 años,"2,000","23,414","22,515","45,929"
Baja California Sur,10 a 14 años,"2,000","22,058","21,244","43,302"
Baja California Sur,15 a 19 años,"2,000","21,922","20,454","42,376"
Baja California Sur,20 a 24 años,"2,000","21,345","20,933","42,278"
Baja California Sur,25 a 29 años,"2,000","20,373","19,891","40,264"
Baja California Sur,30 a 34 años,"2,000","18,036","17,573","35,609"
Baja California Sur,35 a 39 años,"2,000","15,778","15,504","31,282"
Baja California Sur,40 a 44 años,"2,000","12,759","12,294","25,053"
Baja California Sur,45 a 49 años,"2,000","9,702","8,891","18,593"
Baja California Sur,50 a 54 años,"2,000","7,329","6,780","14,109"
Baja California Sur,55 a 59 años,"2,000","5,492","5,139","10,631"
Baja California Sur,60 a 64 años,"2,000","4,294","3,954","8,248"
Baja California Sur,65 a 69 años,"2,000","3,169","2,976","6,145"
Baja California Sur,70 a 74 años,"2,000","2,107","2,069","4,176"
Baja California Sur,No especificado,"2,000","2,270","1,943","4,213"
Baja California Sur,75 años y más,"2,000","2,899","3,321","6,220"
Campeche,0 a 4 años,"2,000","39,670","38,754","78,424"
Campeche,05 a 9 años,"2,000","41,982","41,108","83,090"
Campeche,10 a 14 años,"2,000","40,529","39,717","80,246"
Campeche,15 a 19 años,"2,000","36,751","37,018","73,769"
Campeche,20 a 24 años,"2,000","31,911","34,484","66,395"
Campeche,25 a 29 años,"2,000","27,661","29,938","57,599"
Campeche,30 a 34 años,"2,000","24,435","25,586","50,021"
Campeche,35 a 39 años,"2,000","22,444","23,159","45,603"
Campeche,40 a 44 años,"2,000","18,061","18,027","36,088"
Campeche,45 a 49 años,"2,000","14,474","14,488","28,962"
Campeche,50 a 54 años,"2,000","11,346","11,016","22,362"
Campeche,55 a 59 años,"2,000","8,540","8,159","16,699"
Campeche,60 a 64 años,"2,000","7,371","7,175","14,546"
Campeche,65 a 69 años,"2,000","5,389","5,294","10,683"
Campeche,70 a 74 años,"2,000","4,412","3,962","8,374"
Campeche,No especificado,"2,000","2,910","2,656","5,566"
Campeche,75 años y más,"2,000","6,448","5,814","12,262"
Chiapas,0 a 4 años,"2,000","245,014","238,358","483,372"
Chiapas,05 a 9 años,"2,000","261,521","257,029","518,550"
Chiapas,10 a 14 años,"2,000","247,331","241,460","488,791"
Chiapas,15 a 19 años,"2,000","212,353","221,164","433,517"
Chiapas,20 a 24 años,"2,000","172,044","189,950","361,994"
Chiapas,25 a 29 años,"2,000","138,292","154,668","292,960"
Chiapas,30 a 34 años,"2,000","116,714","125,874","242,588"
Chiapas,35 a 39 años,"2,000","109,185","117,435","226,620"
Chiapas,40 a 44 años,"2,000","87,135","87,564","174,699"
Chiapas,45 a 49 años,"2,000","70,479","71,480","141,959"
Chiapas,50 a 54 años,"2,000","56,191","54,444","110,635"
Chiapas,55 a 59 años,"2,000","42,296","41,547","83,843"
Chiapas,60 a 64 años,"2,000","36,805","35,294","72,099"
Chiapas,65 a 69 años,"2,000","24,592","24,735","49,327"
Chiapas,70 a 74 años,"2,000","19,429","18,168","37,597"
Chiapas,No especificado,"2,000","75,180","73,377","148,557"
Chiapas,75 años y más,"2,000","27,319","26,465","53,784"
Chihuahua,0 a 4 años,"2,000","169,900","164,621","334,521"
Chihuahua,05 a 9 años,"2,000","173,436","168,485","341,921"
Chihuahua,10 a 14 años,"2,000","155,835","150,844","306,679"
Chihuahua,15 a 19 años,"2,000","147,754","143,185","290,939"
Chihuahua,20 a 24 años,"2,000","139,615","140,398","280,013"
Chihuahua,25 a 29 años,"2,000","134,363","138,041","272,404"
Chihuahua,30 a 34 años,"2,000","119,203","123,225","242,428"
Chihuahua,35 a 39 años,"2,000","101,506","105,859","207,365"
Chihuahua,40 a 44 años,"2,000","79,276","83,421","162,697"
Chihuahua,45 a 49 años,"2,000","58,943","62,989","121,932"
Chihuahua,50 a 54 años,"2,000","50,052","52,960","103,012"
Chihuahua,55 a 59 años,"2,000","39,566","42,049","81,615"
Chihuahua,60 a 64 años,"2,000","34,821","36,616","71,437"
Chihuahua,65 a 69 años,"2,000","25,177","26,542","51,719"
Chihuahua,70 a 74 años,"2,000","18,255","19,473","37,728"
Chihuahua,No especificado,"2,000","49,227","48,102","97,329"
Chihuahua,75 años y más,"2,000","23,043","26,125","49,168"
Ciudad de México,0 a 4 años,"2,000","375,222","362,712","737,934"
Ciudad de México,05 a 9 años,"2,000","387,936","376,158","764,094"
Ciudad de México,10 a 14 años,"2,000","375,369","367,617","742,986"
Ciudad de México,15 a 19 años,"2,000","390,049","408,300","798,349"
Ciudad de México,20 a 24 años,"2,000","400,924","431,593","832,517"
Ciudad de México,25 a 29 años,"2,000","403,311","437,176","840,487"
Ciudad de México,30 a 34 años,"2,000","346,860","384,592","731,452"
Ciudad de México,35 a 39 años,"2,000","307,235","348,738","655,973"
Ciudad de México,40 a 44 años,"2,000","258,920","297,645","556,565"
Ciudad de México,45 a 49 años,"2,000","203,214","238,590","441,804"
Ciudad de México,50 a 54 años,"2,000","171,939","201,656","373,595"
Ciudad de México,55 a 59 años,"2,000","122,660","147,185","269,845"
Ciudad de México,60 a 64 años,"2,000","99,194","128,089","227,283"
Ciudad de México,65 a 69 años,"2,000","73,983","101,191","175,174"
Ciudad de México,70 a 74 años,"2,000","55,057","79,288","134,345"
Ciudad de México,No especificado,"2,000","64,543","64,455","128,998"
Ciudad de México,75 años y más,"2,000","74,069","119,769","193,838"
Coahuila de Zaragoza,0 a 4 años,"2,000","129,130","124,041","253,171"
Coahuila de Zaragoza,05 a 9 años,"2,000","130,718","126,510","257,228"
Coahuila de Zaragoza,10 a 14 años,"2,000","119,135","115,524","234,659"
Coahuila de Zaragoza,15 a 19 años,"2,000","113,776","111,640","225,416"
Coahuila de Zaragoza,20 a 24 años,"2,000","110,790","113,067","223,857"
Coahuila de Zaragoza,25 a 29 años,"2,000","99,588","105,074","204,662"
Coahuila de Zaragoza,30 a 34 años,"2,000","86,903","92,787","179,690"
Coahuila de Zaragoza,35 a 39 años,"2,000","76,375","81,011","157,386"
Coahuila de Zaragoza,40 a 44 años,"2,000","63,095","65,856","128,951"
Coahuila de Zaragoza,45 a 49 años,"2,000","48,525","50,472","98,997"
Coahuila de Zaragoza,50 a 54 años,"2,000","40,702","42,230","82,932"
Coahuila de Zaragoza,55 a 59 años,"2,000","30,959","32,098","63,057"
Coahuila de Zaragoza,60 a 64 años,"2,000","26,017","27,836","53,853"
Coahuila de Zaragoza,65 a 69 años,"2,000","18,870","20,303","39,173"
Coahuila de Zaragoza,70 a 74 años,"2,000","13,890","15,053","28,943"
Coahuila de Zaragoza,No especificado,"2,000","13,660","13,186","26,846"
Coahuila de Zaragoza,75 años y más,"2,000","18,062","21,187","39,249"
Colima,0 a 4 años,"2,000","27,427","25,868","53,295"
Colima,05 a 9 años,"2,000","29,298","27,867","57,165"
Colima,10 a 14 años,"2,000","29,057","28,365","57,422"
Colima,15 a 19 años,"2,000","27,289","27,537","54,826"
Colima,20 a 24 años,"2,000","23,281","25,597","48,878"
Colima,25 a 29 años,"2,000","20,598","22,712","43,310"
Colima,30 a 34 años,"2,000","17,968","20,056","38,024"
Colima,35 a 39 años,"2,000","17,173","18,351","35,524"
Colima,40 a 44 años,"2,000","14,500","15,029","29,529"
Colima,45 a 49 años,"2,000","11,218","11,465","22,683"
Colima,50 a 54 años,"2,000","9,096","9,173","18,269"
Colima,55 a 59 años,"2,000","7,006","7,047","14,053"
Colima,60 a 64 años,"2,000","5,529","5,810","11,339"
Colima,65 a 69 años,"2,000","4,211","4,566","8,777"
Colima,70 a 74 años,"2,000","3,297","3,302","6,599"
Colima,No especificado,"2,000","15,818","15,737","31,555"
Colima,75 años y más,"2,000","5,426","5,953","11,379"
Durango,0 a 4 años,"2,000","85,927","82,970","168,897"
Durango,05 a 9 años,"2,000","89,736","87,326","177,062"
Durango,10 a 14 años,"2,000","87,255","85,110","172,365"
Durango,15 a 19 años,"2,000","74,630","75,939","150,569"
Durango,20 a 24 años,"2,000","61,380","67,942","129,322"
Durango,25 a 29 años,"2,000","53,011","59,992","113,003"
Durango,30 a 34 años,"2,000","46,641","53,381","100,022"
Durango,35 a 39 años,"2,000","42,492","47,726","90,218"
Durango,40 a 44 años,"2,000","34,716","38,487","73,203"
Durango,45 a 49 años,"2,000","27,538","29,931","57,469"
Durango,50 a 54 años,"2,000","23,698","25,274","48,972"
Durango,55 a 59 años,"2,000","19,190","20,016","39,206"
Durango,60 a 64 años,"2,000","17,978","18,711","36,689"
Durango,65 a 69 años,"2,000","13,685","14,076","27,761"
Durango,70 a 74 años,"2,000","10,158","10,204","20,362"
Durango,No especificado,"2,000","8,026","7,727","15,753"
Durango,75 años y más,"2,000","13,460","14,328","27,788"
Estados Unidos Mexicanos,0 a 4 años,"2,000","5,401,306","5,233,851","10,635,157"
Estados Unidos Mexicanos,05 a 9 años,"2,000","5,677,711","5,537,612","11,215,323"
Estados Unidos Mexicanos,10 a 14 años,"2,000","5,435,737","5,300,756","10,736,493"
Estados Unidos Mexicanos,15 a 19 años,"2,000","4,909,648","5,082,487","9,992,135"
Estados Unidos Mexicanos,20 a 24 años,"2,000","4,303,600","4,767,534","9,071,134"
Estados Unidos Mexicanos,25 a 29 años,"2,000","3,861,482","4,296,261","8,157,743"
Estados Unidos Mexicanos,30 a 34 años,"2,000","3,383,356","3,753,167","7,136,523"
Estados Unidos Mexicanos,35 a 39 años,"2,000","3,023,328","3,329,210","6,352,538"
Estados Unidos Mexicanos,40 a 44 años,"2,000","2,494,771","2,700,062","5,194,833"
Estados Unidos Mexicanos,45 a 49 años,"2,000","1,957,177","2,114,914","4,072,091"
Estados Unidos Mexicanos,50 a 54 años,"2,000","1,624,033","1,733,920","3,357,953"
Estados Unidos Mexicanos,55 a 59 años,"2,000","1,234,072","1,325,159","2,559,231"
Estados Unidos Mexicanos,60 a 64 años,"2,000","1,045,404","1,152,742","2,198,146"
Estados Unidos Mexicanos,65 a 69 años,"2,000","779,666","881,119","1,660,785"
